iter	TotalF1	MultiClass
0	0.4789092415	1.092046426
1	0.4785741142	1.086231409
2	0.4835324892	1.080915318
3	0.4828517462	1.075985517
4	0.4853071864	1.071377893
5	0.485363581	1.067293993
6	0.4891147987	1.063360628
7	0.4898401947	1.060123521
8	0.4908061474	1.056895818
9	0.4912965549	1.053843968
10	0.4926974496	1.051349391
11	0.493333908	1.048976198
12	0.4940113167	1.046817248
13	0.4936702427	1.044449824
14	0.4935199842	1.042616525
15	0.4944084361	1.04100458
16	0.4942218048	1.039025618
17	0.4948937536	1.037373042
18	0.4951507355	1.035861157
19	0.4955651669	1.034431759
20	0.4957638729	1.032796336
21	0.4957264574	1.031386178
22	0.4962253574	1.030191771
23	0.4971082358	1.028808288
24	0.4980310075	1.027473586
25	0.4979706861	1.026503968
26	0.4979037741	1.025226564
27	0.498324703	1.024138761
28	0.4988769633	1.022981838
29	0.4998883183	1.02195499
30	0.5004952993	1.020613337
31	0.5009767021	1.01965258
32	0.5014098332	1.018714674
33	0.5018154689	1.01774951
34	0.501884891	1.016959557
35	0.5024368484	1.016107058
36	0.5028112951	1.015257453
37	0.5037305336	1.014481552
38	0.5037567116	1.013705058
39	0.5043544492	1.012663358
40	0.5045475145	1.011883885
41	0.5050784247	1.011184153
42	0.5053826339	1.010500822
43	0.5056072446	1.009741028
44	0.5063092869	1.008804926
45	0.5062193377	1.008185579
46	0.5066549861	1.00742108
47	0.5073978494	1.006471668
48	0.5072171596	1.005837285
49	0.5078956746	1.004976359
50	0.5082935815	1.004373183
51	0.5086397395	1.003609186
52	0.5091036285	1.003027777
53	0.509142545	1.002276256
54	0.5097472657	1.001673694
55	0.5099123593	1.0011533
56	0.5104392062	1.000487259
57	0.511067669	0.9997208639
58	0.5110808834	0.9991447432
59	0.5117584489	0.9985287028
60	0.5116858606	0.9980423883
61	0.5119416351	0.9973715634
62	0.5122402978	0.9969050846
63	0.512472219	0.9964858676
64	0.5130146147	0.996020857
65	0.5133388846	0.9955775823
66	0.5136157488	0.9951190253
67	0.5134685052	0.9946726167
68	0.513817222	0.994136198
69	0.513809939	0.9936726991
70	0.5140606346	0.99322969
71	0.5141252231	0.9927269053
72	0.5144661025	0.9923381459
73	0.5148902231	0.9919051072
74	0.5151699171	0.9915135795
75	0.5151860563	0.9911072608
76	0.5154064436	0.9906968958
77	0.5155915014	0.9902123003
78	0.5159035964	0.9897588687
79	0.5160743531	0.9892894271
80	0.5163906122	0.9887404556
81	0.5165200732	0.9883690641
82	0.5166290729	0.987997589
83	0.5169377877	0.9875815828
84	0.5170787841	0.9871267449
85	0.5173265972	0.9867845219
86	0.517575853	0.9865018385
87	0.5178836626	0.9860996888
88	0.517798345	0.9857290663
89	0.5182403244	0.9854204599
90	0.5184730643	0.9850174365
91	0.5185045224	0.9846950775
92	0.5188712158	0.9843578209
93	0.5189433941	0.9840413995
94	0.5190444064	0.9837648254
95	0.5193867789	0.983494501
96	0.5196055002	0.9831663759
97	0.5198465752	0.9828422639
98	0.5202054258	0.9825672732
99	0.5204859507	0.9822202767
100	0.5204681553	0.9819615541
101	0.5207539957	0.9816435403
102	0.5209381242	0.9813785034
103	0.5210768435	0.9810726133
104	0.5212155691	0.9806554496
105	0.5214123985	0.9803718372
106	0.5216200801	0.980036036
107	0.5218031739	0.979731598
108	0.5220267076	0.9794580917
109	0.5218238515	0.9791251763
110	0.5219647841	0.9789092347
111	0.5222706707	0.9787051539
112	0.522585352	0.978456304
113	0.5228700694	0.9781414077
114	0.5230068478	0.9778639868
115	0.5232265031	0.9776748493
116	0.5232662877	0.9773552006
117	0.5233616382	0.9770143591
118	0.5233300174	0.9766686697
119	0.5236392696	0.9763933394
120	0.5236858297	0.9762175034
121	0.5237777266	0.9760599983
122	0.5238913772	0.9758816965
123	0.5242996517	0.9755943297
124	0.5243896862	0.9753622211
125	0.5243910011	0.9750884211
126	0.5245011795	0.9749185102
127	0.5245683883	0.9747070552
128	0.5248160403	0.9744007428
129	0.525041626	0.9740221879
130	0.5250410504	0.9737994828
131	0.5252371493	0.9735531417
132	0.5253677643	0.9732486243
133	0.5253652136	0.9730657359
134	0.5256082183	0.9727799248
135	0.5259739505	0.9724056288
136	0.5262063372	0.9721830232
137	0.5263695179	0.9719584272
138	0.5264820295	0.9717882525
139	0.5264562674	0.9716104532
140	0.5266906586	0.9714842215
141	0.526872484	0.9712699136
142	0.5269970145	0.9710399571
143	0.52711876	0.9708783609
144	0.5271840519	0.9707428976
145	0.527413135	0.9704465348
146	0.5276627539	0.9702231185
147	0.5274568095	0.9699983028
148	0.5278228279	0.9697607147
149	0.5280912518	0.9695511194
150	0.5280264146	0.9692260248
151	0.5279791358	0.9688827737
152	0.5280583007	0.9686896446
153	0.5280794046	0.9685448241
154	0.5281486478	0.9683821522
155	0.5286336116	0.9681496171
156	0.5286181391	0.9679406731
157	0.5288244768	0.9676571456
158	0.5286911125	0.967469392
159	0.5290935814	0.9672867554
160	0.5291230576	0.9671071891
161	0.5292383501	0.9667804128
162	0.5293628741	0.9665658958
163	0.5295137893	0.966325826
164	0.5298515448	0.9661271916
165	0.5300040094	0.9659846099
166	0.5299165354	0.9658410949
167	0.5299546594	0.9656873849
168	0.5299334802	0.9654501745
169	0.5299504526	0.965323397
170	0.5300197862	0.9650906341
171	0.5300707933	0.9649187678
172	0.5302491696	0.9647138425
173	0.5305870514	0.9645231203
174	0.5306929253	0.9643658771
175	0.5307878512	0.9642000542
176	0.5308350171	0.9640282305
177	0.5311328501	0.9638405258
178	0.5312138636	0.9637145066
179	0.5313058846	0.9634911643
180	0.5316341868	0.9633292156
181	0.5316877502	0.9631426991
182	0.5318165679	0.9630240944
183	0.5319745055	0.9626194383
184	0.531805264	0.962423245
185	0.5319495159	0.9622345441
186	0.5319629106	0.9619926721
187	0.5318805062	0.9617977948
188	0.5320020782	0.961649406
189	0.5322782594	0.9614690215
190	0.5323268475	0.9612633441
191	0.5325072464	0.9611207778
192	0.5328135429	0.9609308919
193	0.5326244583	0.9607798542
194	0.5327338665	0.9606685393
195	0.5328809402	0.9605658164
196	0.5329622344	0.9604053696
197	0.5329340946	0.9602595584
198	0.5331182015	0.9601207483
199	0.5330464311	0.9599442034
200	0.5333989722	0.959742523
201	0.5332952205	0.9594629895
202	0.5332174275	0.9592805608
203	0.5331657975	0.9591073102
204	0.533280368	0.9589208656
205	0.5334922747	0.9587783028
206	0.5337045488	0.9586200588
207	0.5339283076	0.9584189179
208	0.5340294229	0.9582734306
209	0.5343313526	0.9581779775
210	0.5344576824	0.9579908685
211	0.5345248666	0.9578071426
212	0.5346116888	0.957584635
213	0.5347612948	0.9574370494
214	0.5348973455	0.9571335933
215	0.5349586397	0.9569826885
216	0.5351251356	0.9568634234
