iter	Passed	Remaining
0	158	158382
1	177	88717
2	198	65819
3	216	53880
4	235	46802
5	253	42033
6	271	38489
7	290	35972
8	308	33997
9	327	32412
10	345	31033
11	363	29962
12	381	28951
13	399	28163
14	418	27467
15	435	26758
16	454	26251
17	474	25864
18	492	25454
19	510	25000
20	527	24588
21	545	24262
22	563	23946
23	581	23653
24	599	23370
25	616	23081
26	634	22868
27	652	22641
28	669	22426
29	687	22229
30	706	22069
31	723	21879
32	741	21720
33	758	21551
34	777	21425
35	795	21290
36	811	21124
37	827	20960
38	845	20830
39	861	20687
40	879	20561
41	895	20422
42	912	20302
43	936	20345
44	956	20290
45	975	20239
46	998	20246
47	1028	20396
48	1052	20424
49	1075	20440
50	1097	20426
51	1117	20376
52	1138	20346
53	1158	20290
54	1180	20275
55	1202	20277
56	1221	20210
57	1240	20144
58	1259	20087
59	1278	20024
60	1296	19953
61	1315	19896
62	1333	19835
63	1352	19786
64	1371	19735
65	1392	19703
66	1411	19653
67	1431	19618
68	1448	19549
69	1467	19490
70	1485	19434
71	1507	19431
72	1526	19389
73	1546	19346
74	1567	19332
75	1584	19268
76	1603	19224
77	1620	19150
78	1637	19095
79	1655	19037
80	1672	18970
81	1688	18903
82	1704	18836
83	1720	18763
84	1737	18704
85	1753	18640
86	1771	18589
87	1787	18522
88	1804	18465
89	1820	18410
90	1837	18356
91	1852	18285
92	1870	18239
93	1887	18195
94	1904	18142
95	1919	18079
96	1937	18037
97	1954	17991
98	1970	17936
99	1988	17897
100	2006	17855
101	2025	17834
102	2044	17805
103	2060	17754
104	2077	17704
105	2092	17651
106	2110	17609
107	2126	17564
108	2143	17522
109	2162	17499
110	2178	17451
111	2193	17394
112	2211	17356
113	2230	17331
114	2248	17306
115	2265	17261
116	2284	17240
117	2302	17210
118	2319	17173
119	2338	17145
120	2355	17114
121	2372	17075
122	2390	17046
123	2409	17018
124	2427	16994
125	2447	16975
126	2464	16939
127	2482	16914
128	2502	16893
129	2521	16875
130	2539	16845
131	2558	16820
132	2574	16785
133	2591	16744
134	2606	16703
135	2622	16660
136	2638	16622
137	2654	16584
138	2673	16557
139	2688	16514
140	2704	16474
141	2719	16433
142	2737	16404
143	2752	16362
144	2770	16336
145	2788	16311
146	2804	16271
147	2821	16244
148	2839	16220
149	2857	16191
150	2872	16152
151	2889	16120
152	2906	16090
153	2922	16052
154	2938	16017
155	2954	15983
156	2970	15948
157	2985	15912
158	3002	15883
159	3018	15848
160	3033	15808
161	3049	15775
162	3068	15757
163	3085	15727
164	3101	15697
165	3118	15665
166	3133	15631
167	3149	15596
168	3164	15562
169	3179	15525
170	3195	15492
171	3211	15459
172	3228	15432
173	3244	15402
174	3259	15365
175	3277	15342
176	3294	15318
177	3312	15295
178	3327	15262
179	3344	15235
180	3360	15205
181	3377	15178
182	3393	15152
183	3412	15133
184	3428	15103
185	3445	15078
186	3462	15051
187	3479	15028
188	3497	15009
189	3515	14986
190	3532	14960
191	3548	14932
192	3565	14907
193	3583	14888
194	3599	14860
195	3616	14835
196	3631	14804
197	3647	14775
198	3665	14754
199	3680	14723
200	3697	14697
201	3714	14673
202	3732	14654
203	3748	14627
204	3765	14604
205	3783	14582
206	3800	14558
207	3815	14528
208	3833	14506
209	3851	14487
210	3865	14455
211	3881	14428
212	3896	14398
213	3914	14376
214	3931	14355
215	3950	14337
216	3967	14317
217	3984	14292
218	4001	14268
219	4017	14243
220	4034	14222
221	4050	14193
222	4065	14166
223	4081	14139
224	4098	14117
225	4113	14087
226	4130	14065
227	4145	14036
228	4162	14014
229	4179	13991
230	4196	13971
231	4212	13944
232	4229	13923
233	4246	13901
234	4263	13877
235	4280	13856
236	4296	13833
237	4314	13813
238	4328	13783
239	4346	13762
240	4362	13740
241	4380	13721
242	4397	13698
243	4414	13678
244	4432	13659
245	4448	13635
246	4462	13605
247	4480	13585
248	4496	13561
249	4516	13549
250	4532	13525
251	4549	13503
252	4565	13478
253	4580	13453
254	4596	13428
255	4612	13405
256	4629	13383
257	4644	13358
258	4661	13336
259	4679	13319
260	4698	13302
261	4714	13278
262	4730	13256
263	4746	13232
264	4761	13207
265	4778	13186
266	4795	13166
267	4812	13145
268	4828	13120
269	4844	13097
270	4861	13077
271	4877	13054
272	4894	13034
273	4912	13015
274	4928	12993
275	4946	12975
276	4961	12950
277	4977	12928
278	4994	12907
279	5009	12881
280	5024	12857
281	5042	12839
282	5061	12823
283	5077	12801
284	5093	12778
285	5109	12756
286	5127	12737
287	5143	12715
288	5159	12693
289	5176	12673
290	5193	12653
291	5208	12629
292	5225	12608
293	5241	12587
294	5258	12567
295	5275	12547
296	5293	12529
297	5310	12510
298	5326	12488
299	5343	12468
300	5361	12451
301	5378	12430
302	5394	12408
303	5412	12392
304	5429	12372
305	5446	12351
306	5461	12328
307	5477	12306
308	5495	12288
309	5511	12267
310	5527	12245
311	5545	12228
312	5562	12208
313	5579	12188
314	5594	12166
315	5611	12146
316	5627	12124
317	5641	12100
318	5659	12081
319	5674	12057
320	5688	12033
321	5704	12010
322	5720	11989
323	5737	11971
324	5753	11949
325	5768	11926
326	5787	11910
327	5802	11888
328	5819	11868
329	5835	11848
330	5853	11831
331	5869	11810
332	5886	11790
333	5904	11774
334	5920	11753
335	5936	11731
336	5952	11710
337	5968	11689
338	5984	11668
339	6000	11648
340	6015	11625
341	6033	11609
342	6050	11588
343	6065	11567
344	6081	11546
345	6098	11526
346	6115	11508
347	6132	11489
348	6148	11469
349	6166	11452
350	6184	11434
351	6199	11413
352	6215	11392
353	6230	11370
354	6246	11349
355	6262	11329
356	6278	11308
357	6296	11290
358	6311	11269
359	6326	11247
360	6343	11228
361	6359	11208
362	6376	11190
363	6393	11170
364	6409	11151
365	6428	11134
366	6443	11114
367	6460	11094
368	6477	11077
369	6495	11059
370	6510	11037
371	6526	11018
372	6545	11002
373	6564	10987
374	6583	10972
375	6599	10952
376	6617	10935
377	6636	10920
378	6656	10906
379	6674	10889
380	6694	10875
381	6712	10859
382	6731	10844
383	6748	10825
384	6764	10806
385	6783	10790
386	6801	10773
387	6818	10754
388	6832	10731
389	6847	10710
390	6864	10691
391	6878	10669
392	6897	10653
393	6914	10634
394	6930	10614
395	6947	10595
396	6962	10575
397	6980	10558
398	6996	10538
399	7011	10517
400	7028	10498
401	7044	10479
402	7063	10463
403	7079	10444
404	7094	10423
405	7113	10407
406	7128	10386
407	7145	10368
408	7162	10349
409	7178	10330
410	7194	10310
411	7211	10291
412	7227	10272
413	7244	10254
414	7260	10234
415	7277	10216
416	7293	10196
417	7311	10179
418	7327	10159
419	7343	10141
420	7359	10121
421	7375	10102
422	7392	10084
423	7409	10065
424	7428	10050
425	7446	10033
426	7465	10017
427	7483	10000
428	7502	9986
429	7521	9970
430	7537	9950
431	7553	9931
432	7571	9914
433	7588	9896
434	7603	9876
435	7620	9857
436	7638	9841
437	7655	9822
438	7670	9801
439	7684	9779
440	7698	9758
441	7712	9736
442	7728	9716
443	7745	9698
444	7760	9679
445	7778	9661
446	7795	9644
447	7810	9623
448	7826	9604
449	7841	9584
450	7856	9563
451	7872	9545
452	7889	9526
453	7903	9505
454	7918	9484
455	7935	9467
456	7950	9446
457	7965	9426
458	7982	9408
459	7998	9390
460	8016	9372
461	8032	9353
462	8048	9335
463	8065	9317
464	8081	9298
